#  X  Y  TVDSS  MD
Name   1079Ë
    61137.50    48138.20      -52.96        0.00
    61137.51    48138.20      -42.95       10.00
    61137.53    48138.17      -32.94       20.00
    61137.53    48138.10      -22.93       30.00
    61137.57    48138.00      -12.91       40.00
    61137.63    48137.91       -2.90       50.00
    61137.70    48137.82        7.11       60.00
    61137.79    48137.75       17.12       70.00
    61137.88    48137.68       27.13       80.00
    61137.97    48137.62       37.14       90.00
    61138.07    48137.56       47.15      100.00
    61138.16    48137.49       57.15      110.00
    61138.25    48137.41       67.17      120.00
    61138.34    48137.31       77.18      130.00
    61138.45    48137.17       87.19      140.00
    61138.60    48137.00       97.20      150.00
    61138.81    48136.72      107.20      160.00
    61139.06    48136.28      117.20      170.00
    61139.29    48135.61      127.18      180.00
    61139.42    48134.67      137.16      190.00
    61139.45    48133.54      147.11      200.00
    61139.41    48132.27      157.03      210.00
    61139.31    48130.85      166.94      220.00
    61139.14    48129.23      176.82      230.00
    61138.90    48127.41      186.66      240.00
    61138.61    48125.40      196.46      250.00
    61138.33    48123.18      206.22      260.00
    61138.10    48120.77      215.94      270.00
    61137.91    48118.25      225.63      280.00
    61137.73    48115.69      235.30      290.00
    61137.58    48113.08      244.96      300.00
    61137.53    48110.38      254.60      310.00
    61137.64    48107.57      264.21      320.00
    61137.89    48104.63      273.77      330.00
    61138.20    48101.60      283.32      340.00
    61138.54    48098.52      292.83      350.00
    61138.87    48095.31      302.31      360.00
    61139.16    48091.94      311.73      370.00
    61139.40    48088.39      321.09      380.00
    61139.67    48084.66      330.37      390.00
    61140.01    48080.76      339.58      400.00
    61140.47    48076.70      348.72      410.00
    61141.05    48072.51      357.80      420.00
    61141.76    48068.20      366.81      430.00
    61142.57    48063.77      375.74      440.00
    61143.48    48059.22      384.61      450.00
    61144.44    48054.61      393.44      460.00
    61145.41    48050.02      402.29      470.00
    61146.37    48045.48      411.15      480.00
    61147.33    48041.00      420.06      490.00
    61148.28    48036.60      429.01      500.00
    61149.22    48032.26      437.97      510.00
    61150.13    48027.86      446.92      520.00
    61151.04    48023.35      455.80      530.00
    61151.94    48018.69      464.62      540.00
    61152.74    48013.96      473.40      550.00
    61153.43    48009.19      482.19      560.00
    61154.02    48004.40      490.95      570.00
    61154.50    47999.58      499.71      580.00
    61154.91    47994.73      508.46      590.00
    61155.34    47989.87      517.20      600.00
    61155.80    47984.99      525.92      610.00
    61156.26    47980.12      534.65      620.00
    61156.76    47975.29      543.41      630.00
    61157.31    47970.57      552.22      640.00
    61157.90    47965.95      561.08      650.00
    61158.52    47961.41      569.98      660.00
    61159.20    47956.90      578.89      670.00
    61160.02    47952.43      587.81      680.00
    61160.93    47947.96      596.72      690.00
    61161.85    47943.45      605.60      700.00
    61162.75    47938.87      614.47      710.00
    61163.66    47934.25      623.30      720.00
    61164.66    47929.64      632.13      730.00
    61165.75    47925.08      640.97      740.00
    61166.93    47920.53      649.81      750.00
    61168.22    47915.95      658.62      760.00
    61169.56    47911.30      667.37      770.00
    61170.88    47906.55      676.08      780.00
    61172.16    47901.74      684.78      790.00
    61173.38    47896.94      693.47      800.00
    61174.54    47892.20      702.21      810.00
    61175.66    47887.54      711.00      820.00
    61176.77    47882.90      719.80      830.00
    61177.88    47878.16      728.55      840.00
    61178.99    47873.26      737.20      850.00
    61180.10    47868.21      745.78      860.00
    61181.23    47863.09      754.30      870.00
    61182.37    47857.92      762.80      880.00
    61183.53    47852.71      771.27      890.00
    61184.73    47847.45      779.70      900.00
    61185.96    47842.13      788.09      910.00
    61187.19    47836.74      796.43      920.00
    61188.45    47831.25      804.70      930.00
    61189.74    47825.63      812.89      940.00
    61191.06    47819.89      820.98      950.00
    61192.40    47814.06      829.00      960.00
    61193.71    47808.13      836.96      970.00
    61194.97    47802.12      844.86      980.00
    61196.19    47796.06      852.73      990.00
    61197.40    47789.99      860.59     1000.00
    61198.60    47783.98      868.52     1010.00
    61199.84    47778.07      876.50     1020.00
    61201.15    47772.23      884.52     1030.00
    61202.50    47766.40      892.54     1040.00
    61203.89    47760.54      900.53     1050.00
    61205.29    47754.65      908.50     1060.00
    61206.72    47748.71      916.43     1070.00
    61208.17    47742.69      924.29     1080.00
    61209.65    47736.58      932.09     1090.00
    61211.13    47730.38      939.80     1100.00
    61212.58    47724.15      947.50     1110.00
    61214.01    47717.92      955.20     1120.00
    61215.42    47711.70      962.92     1130.00
    61216.82    47705.49      970.64     1140.00
    61218.19    47699.26      978.35     1150.00
    61219.52    47692.98      986.04     1160.00
    61220.81    47686.65      993.68     1170.00
    61222.06    47680.26     1001.28     1180.00
    61223.29    47673.81     1008.83     1190.00
    61224.52    47667.28     1016.31     1200.00
