#  X  Y  TVDSS  MD
Name   1Ï
    61944.74    46008.60      -38.48        0.00
    61944.74    46008.60      -13.48       25.00
    61944.74    46008.60       11.52       50.00
    61944.74    46008.60       36.52       75.00
    61944.74    46008.60       56.52       95.00
    61944.74    46008.60       61.52      100.00
    61944.74    46008.60       86.52      125.00
    61944.74    46008.60      111.52      150.00
    61944.74    46008.60      136.52      175.00
    61944.70    46009.60      156.52      195.00
    61944.70    46009.60      161.52      200.00
    61945.70    46009.65      186.52      225.00
    61945.70    46009.65      211.52      250.00
    61945.70    46009.65      236.52      275.00
    61945.70    46009.65      256.52      295.00
    61945.65    46010.65      261.52      300.00
    61945.65    46010.65      286.51      325.00
    61945.65    46010.65      311.51      350.00
    61945.65    46010.65      336.51      375.00
    61945.65    46010.65      356.51      395.00
    61945.61    46011.65      361.51      400.00
    61945.61    46011.65      386.51      425.00
    61945.61    46011.65      411.50      450.00
    61945.56    46012.65      436.50      475.00
    61946.56    46012.69      456.50      495.00
    61946.56    46012.69      461.50      500.00
    61946.56    46012.69      486.49      525.00
    61946.52    46013.69      511.49      550.00
    61946.52    46013.69      536.49      575.00
    61946.47    46014.69      556.48      595.00
    61946.47    46014.69      561.48      600.00
    61946.47    46014.69      586.48      625.00
    61946.47    46014.69      611.47      650.00
    61946.43    46015.69      636.47      675.00
    61947.42    46015.73      656.47      695.00
    61947.42    46015.73      661.47      700.00
    61947.38    46016.73      686.46      725.00
    61947.38    46016.73      711.46      750.00
    61947.33    46017.73      736.46      775.00
    61947.33    46017.73      756.45      795.00
    61947.33    46017.73      761.45      800.00
    61947.33    46017.73      786.45      825.00
    61947.29    46018.73      811.44      850.00
    61947.29    46018.73      836.44      875.00
    61948.24    46019.78      856.44      895.00
    61948.24    46019.78      861.44      900.00
    61948.24    46019.78      886.43      925.00
    61948.24    46019.78      911.43      950.00
    61948.20    46020.77      936.42      975.00
    61948.20    46020.77      956.42      995.00
    61948.20    46020.77      961.42     1000.00
    61948.15    46021.77      986.41     1025.00
    61948.15    46021.77     1011.41     1050.00
    61949.11    46022.82     1036.40     1075.00
    61949.06    46023.82     1056.39     1095.00
    61949.06    46023.82     1061.39     1100.00
    61949.06    46023.82     1086.38     1125.00
    61949.02    46024.82     1111.37     1150.00
    61948.97    46025.82     1136.36     1175.00
    61949.97    46025.86     1156.36     1195.00
    61949.97    46025.86     1161.36     1200.00
    61949.93    46026.86     1186.35     1225.00
    61949.93    46026.86     1211.35     1250.00
    61949.93    46026.86     1236.35     1275.00
    61949.88    46027.86     1256.34     1295.00
    61949.88    46027.86     1261.34     1300.00
    61949.88    46027.86     1286.34     1325.00
    61949.84    46028.86     1311.34     1350.00
    61950.84    46028.90     1336.33     1375.00
    61950.84    46028.90     1356.33     1395.00
    61950.79    46029.90     1361.32     1400.00
    61950.79    46029.90     1386.32     1425.00
    61950.75    46030.90     1411.31     1450.00
    61950.75    46030.90     1436.30     1475.00
    61950.70    46031.90     1456.29     1495.00
    61951.70    46031.95     1461.29     1500.00
    61951.65    46032.95     1486.28     1525.00
    61951.65    46032.95     1511.26     1550.00
    61951.61    46033.95     1536.25     1575.00
    61951.61    46033.95     1556.25     1595.00
    61951.56    46034.94     1561.25     1600.00
    61951.56    46034.94     1586.24     1625.00
    61952.52    46035.99     1611.23     1650.00
    61952.47    46036.99     1636.22     1675.00
    61952.47    46036.99     1656.21     1695.00
    61952.47    46036.99     1661.20     1700.00
    61952.43    46037.99     1686.19     1725.00
    61953.38    46039.03     1711.17     1750.00
    61953.34    46040.03     1736.16     1775.00
    61953.34    46040.03     1756.15     1795.00
    61953.34    46040.03     1761.15     1800.00
    61953.29    46041.03     1786.13     1825.00
    61954.25    46042.08     1811.12     1850.00
    61954.20    46043.07     1836.11     1875.00
    61954.20    46043.07     1856.10     1895.00
    61954.16    46044.07     1861.09     1900.00
    61954.16    46044.07     1886.08     1925.00
    61955.11    46045.12     1911.06     1950.00
    61955.07    46046.12     1936.05     1975.00
    61955.02    46047.12     1956.04     1995.00
    61955.02    46047.12     1961.03     2000.00
    61954.98    46048.12     1986.02     2025.00
    61955.93    46049.16     2011.00     2050.00
    61955.93    46049.16     2035.99     2075.00
    61955.89    46050.16     2055.97     2095.00
    61955.89    46050.16     2060.97     2100.00
    61956.84    46051.20     2085.94     2125.00
    61956.79    46052.20     2110.92     2150.00
    61956.70    46054.20     2135.90     2175.00
    61957.70    46054.25     2155.88     2195.00
    61957.66    46055.25     2160.87     2200.00
    61957.61    46056.25     2185.85     2225.00
    61957.57    46057.24     2210.82     2250.00
    61958.52    46058.29     2235.80     2275.00
    61958.48    46059.29     2255.78     2295.00
    61958.48    46059.29     2260.78     2300.00
    61958.43    46060.29     2285.75     2325.00
    61959.39    46061.33     2310.71     2350.00
    61959.34    46062.33     2335.68     2375.00
    61959.30    46063.33     2355.66     2395.00
    61959.30    46063.33     2360.65     2400.00
    61960.21    46065.37     2385.62     2425.00
    61960.16    46066.37     2410.59     2450.00
    61961.11    46067.42     2435.55     2475.00
    61961.07    46068.42     2455.53     2495.00
    61961.07    46068.42     2460.52     2500.00
    61960.98    46070.42     2485.49     2525.00
    61961.93    46071.46     2510.45     2550.00
    61961.89    46072.46     2535.42     2575.00
    61961.84    46073.46     2555.39     2595.00
    61961.84    46073.46     2560.38     2600.00
    61962.75    46075.50     2585.35     2625.00
    61962.71    46076.50     2610.31     2650.00
    61963.66    46077.55     2635.28     2675.00
    61963.62    46078.54     2655.25     2695.00
    61963.62    46078.54     2660.25     2700.00
    61963.53    46080.54     2685.21     2725.00
    61964.48    46081.59     2710.18     2750.00
    61964.44    46082.59     2735.14     2775.00
    61965.39    46083.63     2755.10     2795.00
    61965.34    46084.63     2760.10     2800.00
    61965.30    46085.63     2785.06     2825.00
    61965.25    46086.63     2810.03     2850.00
    61966.21    46087.67     2834.99     2875.00
    61966.16    46088.67     2854.96     2895.00
    61966.12    46089.67     2859.95     2900.00
    61967.07    46090.72     2884.91     2925.00
    61966.98    46092.71     2909.86     2950.00
    61967.94    46093.76     2934.81     2975.00
    61967.89    46094.76     2954.78     2995.00
    61967.89    46094.76     2959.77     3000.00
