#  X  Y  TVDSS  MD
Name   230ок
    57796.40    40120.80      -57.55        0.00
    57796.41    40120.93       11.82       69.37
    57796.41    40121.05       36.23       93.78
    57796.47    40121.20       60.66      118.21
    57796.89    40121.23       84.84      142.39
    57797.58    40120.49      109.41      166.99
    57798.58    40119.04      133.71      191.35
    57799.66    40117.03      158.15      215.90
    57800.70    40114.86      182.60      240.46
    57802.00    40112.29      207.43      265.46
    57803.31    40109.20      231.54      289.80
    57804.43    40105.82      255.53      314.06
    57805.59    40102.39      279.53      338.33
    57806.63    40098.85      303.56      362.64
    57807.72    40095.53      327.71      387.04
    57808.88    40092.54      351.39      410.94
    57809.94    40089.42      375.47      435.24
    57811.04    40086.40      399.66      459.64
    57812.33    40083.74      423.79      483.95
    57813.73    40081.19      448.05      508.39
    57814.98    40078.42      472.35      532.88
    57816.14    40075.54      496.47      557.20
    57817.21    40072.51      520.82      581.76
    57817.99    40069.37      545.02      606.17
    57818.71    40066.35      569.54      630.89
    57819.40    40063.55      594.00      655.52
    57820.11    40061.00      618.26      679.92
    57820.97    40058.71      642.78      704.56
    57821.71    40056.95      662.93      724.80
    57822.73    40054.34      687.08      749.12
    57824.26    40050.53      710.95      773.34
    57826.06    40045.51      734.61      797.59
    57828.01    40039.68      758.08      821.85
    57830.39    40033.34      781.37      846.11
    57833.01    40026.78      804.61      870.40
    57835.94    40020.07      827.77      894.69
    57839.54    40013.04      850.75      918.98
    57843.44    40005.90      873.49      943.14
    57847.17    39998.44      896.97      968.06
    57850.43    39990.39      919.87      992.54
    57853.67    39981.11      942.37     1017.10
    57857.02    39970.71      964.18     1041.49
    57860.62    39959.11      985.53     1066.06
    57864.77    39946.98     1006.48     1090.62
    57869.30    39935.22     1027.34     1114.99
    57874.27    39923.64     1048.28     1139.43
    57879.37    39911.98     1069.11     1163.84
    57884.00    39900.40     1090.23     1188.37
    57888.95    39889.50     1111.37     1212.66
    57894.21    39878.96     1132.72     1237.05
    57899.45    39868.41     1154.15     1261.50
    57904.78    39857.64     1175.57     1286.06
    57909.45    39846.62     1196.73     1310.37
    57913.72    39835.58     1217.94     1334.66
    57918.37    39824.41     1239.30     1359.21
    57923.14    39813.27     1260.23     1383.39
    57927.99    39802.11     1281.47     1407.87
    57933.05    39790.94     1302.72     1432.40
    57937.94    39779.85     1323.93     1456.84
    57942.72    39768.70     1345.25     1481.36
    57947.41    39757.45     1366.56     1505.91
    57951.85    39746.09     1387.85     1530.45
    57956.37    39734.75     1408.75     1554.65
    57961.25    39723.66     1429.93     1579.05
    57966.17    39712.98     1451.47     1603.59
    57970.48    39702.23     1473.12     1628.15
    57974.07    39690.96     1494.63     1652.69
    57977.35    39679.78     1516.22     1677.23
    57980.54    39669.06     1537.94     1701.66
    57983.99    39658.35     1559.69     1726.15
    57987.48    39647.55     1581.31     1750.56
    57990.85    39636.41     1602.94     1775.13
    57994.54    39625.13     1624.23     1799.50
    57998.83    39613.84     1645.57     1824.02
    58003.11    39602.84     1667.05     1848.53
    58007.24    39591.74     1688.48     1873.02
    58011.42    39580.73     1710.21     1897.73
    58015.35    39570.22     1731.67     1921.95
    58019.36    39559.41     1753.10     1946.28
    58023.86    39548.54     1774.05     1970.31
    58028.86    39537.54     1795.13     1994.61
    58033.44    39526.75     1816.45     2018.94
    58037.45    39516.23     1838.00     2043.25
    58041.36    39506.10     1859.50     2067.34
    58045.58    39496.02     1881.18     2091.62
    58049.56    39485.52     1902.70     2115.89
    58053.42    39474.46     1923.99     2140.19
    58057.54    39463.27     1945.13     2164.46
    58061.40    39451.81     1966.19     2188.75
    58065.25    39440.00     1987.11     2213.08
    58069.16    39427.99     2007.94     2237.44
    58073.02    39416.10     2028.67     2261.65
    58077.15    39404.56     2049.58     2285.88
    58081.73    39393.53     2070.79     2310.22
    58086.68    39382.95     2092.13     2334.55
    58091.36    39372.48     2113.54     2358.84
    58095.84    39362.24     2135.13     2383.15
    58100.36    39352.04     2156.71     2407.44
    58104.96    39341.81     2178.21     2431.69
    58109.70    39331.25     2199.57     2455.99
    58114.46    39320.35     2220.79     2480.31
    58119.31    39309.27     2241.92     2504.66
    58124.10    39297.82     2262.80     2528.95
    58128.62    39286.33     2283.76     2553.28
    58129.88    39283.25     2289.60     2560.00
    58131.88    39278.76     2298.31     2570.00
    58133.89    39274.32     2307.04     2580.00
    58135.92    39269.91     2315.78     2590.00
    58137.96    39265.52     2324.53     2600.00
    58140.02    39261.15     2333.29     2610.00
    58142.11    39256.85     2342.07     2620.00
    58144.17    39252.60     2350.89     2630.00
    58146.16    39248.36     2359.72     2640.00
    58148.03    39244.06     2368.55     2650.00
    58149.85    39239.67     2377.35     2660.00
    58151.69    39235.22     2386.12     2670.00
    58153.51    39230.74     2394.87     2680.00
    58155.33    39226.23     2403.61     2690.00
    58157.16    39221.68     2412.32     2700.00
    58158.97    39217.10     2421.02     2710.00
    58160.77    39212.52     2429.73     2720.00
    58162.53    39207.91     2438.43     2730.00
    58164.24    39203.24     2447.10     2740.00
    58165.96    39198.51     2455.74     2750.00
    58167.73    39193.80     2464.39     2760.00
    58169.51    39189.21     2473.09     2770.00
    58171.24    39184.71     2481.85     2780.00
    58172.96    39180.25     2490.63     2790.00
    58174.68    39175.80     2499.42     2800.00
    58176.42    39171.38     2508.22     2810.00
    58178.17    39167.01     2517.04     2820.00
    58179.86    39162.70     2525.91     2830.00
    58181.51    39158.46     2534.81     2840.00
    58183.15    39154.24     2543.73     2850.00
    58184.78    39150.04     2552.66     2860.00
    58186.51    39145.81     2561.56     2870.00
    58188.32    39141.50     2570.39     2880.00
    58190.16    39137.12     2579.19     2890.00
    58191.99    39132.62     2587.94     2900.00
    58193.79    39128.07     2596.65     2910.00
    58195.62    39123.52     2605.37     2920.00
    58197.43    39118.91     2614.06     2930.00
    58199.26    39114.23     2622.71     2940.00
    58201.17    39109.51     2631.31     2950.00
    58203.12    39104.78     2639.90     2960.00
    58205.06    39100.13     2648.54     2970.00
    58206.95    39095.56     2657.23     2980.00
    58208.81    39091.04     2665.96     2990.00
    58210.68    39086.59     2674.71     3000.00
    58212.53    39082.20     2683.51     3010.00
    58214.34    39077.84     2692.32     3020.00
    58216.12    39073.48     2701.14     3030.00
    58217.93    39069.12     2709.96     3040.00
    58219.73    39064.80     2718.80     3050.00
    58221.50    39060.57     2727.68     3060.00
    58223.25    39056.46     2736.63     3070.00
    58224.95    39052.37     2745.60     3080.00
    58226.64    39048.23     2754.54     3090.00
    58228.36    39044.12     2763.49     3100.00
    58230.05    39040.12     2772.50     3110.00
    58231.70    39036.24     2781.57     3120.00
    58233.35    39032.51     2790.70     3130.00
    58234.98    39028.91     2799.89     3140.00
    58236.58    39025.34     2809.09     3150.00
    58238.13    39021.74     2818.29     3160.00
    58239.60    39018.10     2827.49     3170.00
    58240.98    39014.50     2836.71     3180.00
    58242.33    39011.05     2846.00     3190.00
    58243.61    39007.79     2855.37     3200.00
    58244.84    39004.74     2864.81     3210.00
    58245.96    39001.95     2874.35     3220.00
    58246.94    38999.38     2883.96     3230.00
    58247.78    38997.02     2893.64     3240.00
    58248.55    38994.83     2903.37     3250.00
    58249.27    38992.78     2913.13     3260.00
    58249.92    38990.88     2922.93     3270.00
    58250.46    38989.16     2932.76     3280.00
    58250.90    38987.67     2942.64     3290.00
    58251.26    38986.37     2952.55     3300.00
    58251.56    38985.20     2962.48     3310.00
    58251.81    38984.14     2972.42     3320.00
    58252.04    38983.15     2982.37     3330.00
    58252.24    38982.22     2992.32     3340.00
    58252.41    38981.37     3002.28     3350.00
    58252.57    38980.60     3012.25     3360.00
    58252.72    38979.88     3022.23     3370.00
    58252.81    38979.48     3028.13     3375.92
