#  X  Y  TVDSS  MD
Name   25ะห
    61886.40    42681.80      -50.70        0.00
    61886.37    42681.82      -40.70       10.00
    61886.28    42681.81      -30.70       20.00
    61886.16    42681.84      -20.70       30.00
    61886.04    42681.86      -10.70       40.00
    61885.90    42681.89       -0.70       50.00
    61885.77    42681.91        9.30       60.00
    61885.64    42681.93       19.30       70.00
    61885.51    42681.97       29.29       80.00
    61885.38    42682.01       39.29       90.00
    61885.24    42682.09       49.29      100.00
    61885.08    42682.19       59.29      110.00
    61884.89    42682.29       69.29      120.00
    61884.70    42682.42       79.29      130.00
    61884.49    42682.56       89.28      140.00
    61884.26    42682.70       99.28      150.00
    61884.04    42682.82      109.28      160.00
    61883.83    42682.94      119.27      170.00
    61883.62    42683.06      129.27      180.00
    61883.42    42683.18      139.27      190.00
    61883.23    42683.29      149.26      200.00
    61883.08    42683.39      159.26      210.00
    61882.95    42683.50      169.26      220.00
    61882.84    42683.60      179.26      230.00
    61882.74    42683.73      189.26      240.00
    61882.65    42683.85      199.26      250.00
    61882.53    42683.98      209.26      260.00
    61882.38    42684.09      219.25      270.00
    61882.21    42684.16      229.25      280.00
    61882.02    42684.19      239.25      290.00
    61881.93    42684.31      248.25      299.00
    61881.94    42684.33      249.25      300.00
    61881.80    42684.44      259.25      310.00
    61881.60    42684.34      269.25      320.00
    61881.39    42684.21      279.24      330.00
    61881.19    42684.05      289.24      340.00
    61881.00    42683.87      299.24      350.00
    61880.82    42683.68      309.23      360.00
    61880.65    42683.48      319.23      370.00
    61880.45    42683.26      329.22      380.00
    61880.25    42683.05      339.22      390.00
    61880.04    42682.85      349.22      400.00
    61879.81    42682.65      359.21      410.00
    61879.57    42682.47      369.21      420.00
    61879.35    42682.28      379.20      430.00
    61879.12    42682.07      389.20      440.00
    61878.87    42681.86      399.19      450.00
    61878.61    42681.67      409.19      460.00
    61878.34    42681.48      419.18      470.00
    61878.13    42681.32      429.18      480.00
    61877.98    42681.20      439.18      490.00
    61877.84    42681.08      449.17      500.00
    61877.71    42680.93      459.17      510.00
    61877.54    42680.75      469.17      520.00
    61877.35    42680.58      479.17      530.00
    61877.20    42680.41      489.16      540.00
    61877.04    42680.24      499.16      550.00
    61876.90    42680.11      509.16      560.00
    61876.76    42679.95      519.16      570.00
    61876.60    42679.75      529.15      580.00
    61876.47    42679.62      539.15      590.00
    61876.38    42679.53      549.15      600.00
    61876.28    42679.45      559.15      610.00
    61876.21    42679.37      569.15      620.00
    61876.15    42679.33      579.15      630.00
    61876.08    42679.29      589.15      640.00
    61876.02    42679.22      599.15      650.00
    61875.96    42679.13      609.15      660.00
    61875.89    42679.06      619.15      670.00
    61875.82    42679.00      629.15      680.00
    61875.75    42678.93      639.15      690.00
    61875.70    42678.86      649.15      700.00
    61875.65    42678.77      659.15      710.00
    61875.60    42678.69      669.15      720.00
    61875.55    42678.63      679.15      730.00
    61875.50    42678.55      689.14      740.00
    61875.45    42678.43      699.14      750.00
    61875.42    42678.27      709.14      760.00
    61875.42    42678.11      719.14      770.00
    61875.42    42677.94      729.14      780.00
    61875.42    42677.75      739.14      790.00
    61875.46    42677.51      749.14      800.00
    61875.53    42677.28      759.13      810.00
    61875.60    42677.03      769.13      820.00
    61875.69    42676.79      779.13      830.00
    61875.78    42676.56      789.12      840.00
    61875.86    42676.33      799.12      850.00
    61875.95    42676.12      809.12      860.00
    61876.04    42675.90      819.11      870.00
    61876.12    42675.64      829.11      880.00
    61876.19    42675.39      839.11      890.00
    61876.26    42675.17      849.10      900.00
    61876.33    42674.98      859.10      910.00
    61876.39    42674.78      869.10      920.00
    61876.45    42674.57      879.10      930.00
    61876.52    42674.37      889.10      940.00
    61876.58    42674.17      899.09      950.00
    61876.65    42674.00      909.09      960.00
    61876.72    42673.89      919.09      970.00
    61876.79    42673.77      929.09      980.00
    61876.85    42673.63      939.09      990.00
    61876.89    42673.51      949.09     1000.00
    61876.91    42673.38      959.09     1010.00
    61876.95    42673.22      969.09     1020.00
    61877.01    42673.05      979.08     1030.00
    61877.08    42672.90      989.08     1040.00
    61877.18    42672.76      999.08     1050.00
    61877.28    42672.63     1009.08     1060.00
    61877.39    42672.50     1019.08     1070.00
    61877.49    42672.35     1029.08     1080.00
    61877.63    42672.21     1039.07     1090.00
    61877.78    42672.09     1049.07     1100.00
    61877.92    42671.97     1059.07     1110.00
    61878.08    42671.85     1069.07     1120.00
    61878.24    42671.72     1079.07     1130.00
    61878.42    42671.58     1089.06     1140.00
    61878.60    42671.47     1099.06     1150.00
    61878.79    42671.37     1109.06     1160.00
    61878.95    42671.26     1119.06     1170.00
    61879.10    42671.14     1129.06     1180.00
    61879.27    42670.99     1139.05     1190.00
    61879.43    42670.85     1149.05     1200.00
    61879.62    42670.77     1159.05     1210.00
    61879.83    42670.71     1169.05     1220.00
    61880.03    42670.64     1179.04     1230.00
    61880.24    42670.55     1189.04     1240.00
    61880.47    42670.43     1199.04     1250.00
    61880.68    42670.29     1209.04     1260.00
    61880.89    42670.11     1219.03     1270.00
    61881.15    42669.93     1229.03     1280.00
    61881.44    42669.80     1239.02     1290.00
    61881.71    42669.64     1249.02     1300.00
    61881.94    42669.47     1259.01     1310.00
    61882.15    42669.27     1269.01     1320.00
    61882.35    42669.08     1279.00     1330.00
    61882.57    42668.90     1289.00     1340.00
    61882.79    42668.74     1299.00     1350.00
    61882.99    42668.59     1308.99     1360.00
    61883.21    42668.43     1318.99     1370.00
    61883.39    42668.26     1328.99     1380.00
    61883.56    42668.10     1338.98     1390.00
    61883.75    42667.94     1348.98     1400.00
