#  X  Y  TVDSS  MD
Name   316
    59616.70    43117.80      -51.31        0.00
    59616.70    43117.80      -31.31       20.00
    59616.79    43118.15       -1.31       50.00
    59617.08    43119.22       48.68      100.00
    59617.06    43120.13       70.66      122.00
    59616.60    43121.16       88.62      140.00
    59615.61    43122.50      108.55      160.00
    59613.68    43124.17      129.40      181.00
    59611.16    43125.83      148.16      200.00
    59608.02    43127.82      168.82      221.00
    59604.91    43129.94      188.47      241.00
    59601.90    43132.45      207.06      260.00
    59598.72    43135.68      227.56      281.00
    59595.90    43138.85      247.11      301.00
    59592.95    43142.11      266.62      321.00
    59589.40    43145.64      287.01      342.00
    59586.07    43148.74      304.43      360.00
    59582.06    43152.20      323.71      380.00
    59577.85    43155.78      342.93      400.00
    59573.49    43159.55      362.09      420.00
    59568.98    43163.38      381.19      440.00
    59564.41    43167.27      400.27      460.00
    59559.82    43171.17      419.34      480.00
    59555.13    43175.37      439.37      501.00
    59551.19    43179.29      457.54      520.00
    59547.31    43183.51      476.70      540.00
    59543.68    43187.88      495.88      560.00
    59540.09    43192.54      516.04      581.00
    59537.04    43196.71      534.32      600.00
    59534.12    43201.36      554.59      621.00
    59531.95    43205.59      572.99      640.00
    59529.93    43210.22      593.37      661.00
    59528.23    43214.40      611.83      680.00
    59526.43    43218.82      631.25      700.00
    59524.46    43223.66      652.62      722.00
    59522.89    43227.62      670.11      740.00
    59521.27    43231.93      689.57      760.00
    59519.69    43236.12      709.06      780.00
    59518.88    43238.17      718.82      790.00
    59515.74    43245.69      757.98      830.00
    59514.97    43247.49      767.79      840.00
    59513.36    43251.25      787.37      860.00
    59511.81    43255.25      806.90      880.00
    59510.58    43259.81      826.33      900.00
    59509.60    43264.79      845.68      920.00
    59508.43    43269.62      865.05      940.00
    59506.91    43274.00      884.51      960.00
    59505.25    43278.18      903.99      980.00
    59503.65    43282.54      923.45     1000.00
    59502.05    43287.03      942.87     1020.00
    59500.45    43291.52      962.29     1040.00
    59498.87    43296.19      981.68     1060.00
    59497.22    43301.08     1001.00     1080.00
    59495.51    43305.89     1020.34     1100.00
    59493.67    43310.51     1039.71     1120.00
    59491.71    43315.10     1059.08     1140.00
    59489.71    43320.02     1078.36     1160.00
    59487.87    43325.46     1097.52     1180.00
    59486.29    43331.11     1116.64     1200.00
    59484.69    43336.46     1135.84     1220.00
    59483.01    43341.46     1155.13     1240.00
    59481.34    43346.40     1174.44     1260.00
    59479.72    43351.50     1193.71     1280.00
    59478.11    43356.71     1212.96     1300.00
    59476.57    43361.86     1232.22     1320.00
    59475.04    43366.98     1251.49     1340.00
    59473.45    43372.15     1270.75     1360.00
    59471.83    43377.41     1289.98     1380.00
    59470.18    43382.58     1309.23     1400.00
    59468.65    43387.72     1328.49     1420.00
    59467.21    43392.86     1347.77     1440.00
    59465.92    43397.77     1367.11     1460.00
    59464.84    43402.42     1386.53     1480.00
    59463.68    43407.01     1405.96     1500.00
    59462.38    43411.81     1425.34     1520.00
    59460.97    43416.85     1444.64     1540.00
    59459.37    43421.73     1463.97     1560.00
    59458.08    43426.35     1483.39     1580.00
    59456.98    43430.71     1502.87     1600.00
    59455.68    43434.93     1522.38     1620.00
    59454.34    43439.01     1541.91     1640.00
    59452.97    43442.95     1561.47     1660.00
    59451.60    43446.91     1581.03     1680.00
    59450.20    43450.95     1600.57     1700.00
    59448.96    43454.96     1620.12     1720.00
    59448.18    43458.75     1639.75     1740.00
    59447.76    43462.35     1659.41     1760.00
    59447.45    43466.17     1680.06     1781.00
    59447.12    43469.90     1699.71     1801.00
    59446.72    43473.59     1719.36     1821.00
    59446.23    43477.05     1738.04     1840.00
    59445.58    43480.65     1757.70     1860.00
    59444.91    43484.20     1777.37     1880.00
    59444.27    43487.65     1797.06     1900.00
    59443.70    43490.95     1816.78     1920.00
    59443.13    43494.19     1837.52     1941.00
    59442.53    43496.94     1857.32     1961.00
    59441.89    43499.42     1877.15     1981.00
    59441.21    43501.69     1897.01     2001.00
    59440.56    43503.86     1916.88     2021.00
    59439.90    43506.06     1936.75     2041.00
    59439.30    43508.28     1955.61     2060.00
    59438.65    43510.87     1976.44     2081.00
    59437.92    43513.46     1996.26     2101.00
    59437.04    43516.07     2016.07     2121.00
    59436.07    43518.60     2035.88     2141.00
    59435.07    43520.99     2055.72     2161.00
    59434.06    43523.14     2075.57     2181.00
    59433.03    43525.11     2095.45     2201.00
    59431.99    43526.91     2115.34     2221.00
    59430.98    43528.51     2135.25     2241.00
    59429.99    43529.99     2155.17     2261.00
    59429.06    43531.34     2175.11     2281.00
    59428.23    43532.53     2195.05     2301.00
    59427.49    43533.57     2215.01     2321.00
    59426.83    43534.51     2234.98     2341.00
    59426.19    43535.40     2253.95     2360.00
    59425.41    43536.36     2274.91     2381.00
    59424.69    43537.15     2294.88     2401.00
    59424.06    43537.85     2314.86     2421.00
    59423.48    43538.50     2334.84     2441.00
    59422.95    43539.08     2354.83     2461.00
    59422.43    43539.65     2374.81     2481.00
    59421.97    43540.17     2394.80     2501.00
    59421.59    43540.58     2414.79     2521.00
    59421.22    43540.99     2434.78     2541.00
    59420.85    43541.40     2454.78     2561.00
    59420.54    43541.75     2474.77     2581.00
    59420.26    43542.06     2494.77     2601.00
    59420.01    43542.33     2514.76     2621.00
    59419.79    43542.57     2534.76     2641.00
    59419.59    43542.79     2554.76     2661.00
    59419.45    43542.95     2574.76     2681.00
    59419.35    43543.05     2594.76     2701.00
    59419.28    43543.13     2614.76     2721.00
    59419.24    43543.18     2634.76     2741.00
    59419.19    43543.23     2654.76     2761.00
    59419.13    43543.30     2674.76     2781.00
    59419.04    43543.40     2694.76     2801.00
    59418.92    43543.53     2714.75     2821.00
    59418.80    43543.66     2734.75     2841.00
    59418.69    43543.79     2754.75     2861.00
    59418.55    43543.95     2774.75     2881.00
    59418.37    43544.14     2794.75     2901.00
    59418.11    43544.42     2814.75     2921.00
    59417.82    43544.75     2834.74     2941.00
    59417.54    43545.06     2854.74     2961.00
    59417.29    43545.33     2874.73     2981.00
    59417.08    43545.56     2894.73     3001.00
    59416.85    43545.82     2914.73     3021.00
    59416.64    43546.05     2934.73     3041.00
    59416.40    43546.31     2954.72     3061.00
    59416.17    43546.57     2973.72     3080.00
    59415.96    43546.80     2993.72     3100.00
    59415.84    43546.94     3004.72     3111.00
