#  X  Y  TVDSS  MD
Name   597ою
    65019.80    44877.00        9.42       60.00
    65019.85    44877.18       19.42       70.00
    65019.90    44877.38       29.42       80.00
    65019.96    44877.58       39.41       90.00
    65020.04    44877.89       49.41      100.00
    65019.67    44878.22       59.40      110.00
    65019.01    44877.96       69.37      120.00
    65018.17    44877.58       79.33      130.00
    65017.19    44877.10       89.27      140.00
    65016.09    44876.47       99.19      150.00
    65014.83    44875.70      109.08      160.00
    65013.45    44874.81      118.94      170.00
    65011.99    44873.80      128.78      180.00
    65010.50    44872.70      138.61      190.00
    65008.98    44871.54      148.43      200.00
    65007.36    44870.31      158.22      210.00
    65005.59    44868.93      167.96      220.00
    65003.73    44867.39      177.67      230.00
    65001.81    44865.74      187.34      240.00
    64999.81    44863.99      196.98      250.00
    64997.73    44862.17      206.59      260.00
    64995.59    44860.30      216.18      270.00
    64993.46    44858.37      225.76      280.00
    64991.36    44856.34      235.32      290.00
    64989.22    44854.26      244.87      300.00
    64987.05    44852.11      254.39      310.00
    64984.88    44849.86      263.89      320.00
    64982.61    44847.54      273.34      330.00
    64980.25    44845.17      282.77      340.00
    64977.84    44842.75      292.17      350.00
    64975.32    44840.30      301.53      360.00
    64972.69    44837.88      310.87      370.00
    64970.00    44835.49      320.20      380.00
    64967.31    44833.14      329.54      390.00
    64964.66    44830.82      338.90      400.00
    64962.08    44828.53      348.28      410.00
    64959.58    44826.23      357.69      420.00
    64957.19    44823.91      367.12      430.00
    64954.94    44821.52      376.57      440.00
    64952.80    44819.09      386.03      450.00
    64950.72    44816.65      395.50      460.00
    64948.64    44814.16      404.96      470.00
    64946.54    44811.65      414.41      480.00
    64944.42    44809.14      423.85      490.00
    64942.25    44806.64      433.29      500.00
    64940.07    44804.12      442.72      510.00
    64937.87    44801.57      452.13      520.00
    64935.55    44799.03      461.52      530.00
    64933.20    44796.49      470.90      540.00
    64930.90    44793.89      480.28      550.00
    64928.63    44791.26      489.66      560.00
    64926.37    44788.65      499.04      570.00
    64924.15    44786.08      508.45      580.00
    64921.92    44783.54      517.86      590.00
    64919.67    44781.04      527.28      600.00
    64917.46    44778.58      536.72      610.00
    64915.28    44776.18      546.17      620.00
    64913.09    44773.82      555.65      630.00
    64910.91    44771.51      565.13      640.00
    64908.70    44769.25      574.61      650.00
    64906.44    44767.02      584.10      660.00
    64904.16    44764.77      593.57      670.00
    64901.88    44762.51      603.04      680.00
    64899.61    44760.27      612.52      690.00
    64897.35    44758.00      621.99      700.00
    64895.09    44755.73      631.46      710.00
    64892.80    44753.43      640.92      720.00
    64890.49    44751.11      650.37      730.00
    64888.19    44748.76      659.82      740.00
    64885.92    44746.31      669.24      750.00
    64883.68    44743.81      678.66      760.00
    64881.47    44741.26      688.07      770.00
    64879.31    44738.62      697.48      780.00
    64877.19    44735.90      706.86      790.00
    64875.14    44733.11      716.24      800.00
    64873.13    44730.28      725.62      810.00
    64871.19    44727.44      735.01      820.00
    64869.33    44724.61      744.42      830.00
    64867.50    44721.79      753.84      840.00
    64865.67    44718.95      763.25      850.00
    64863.87    44716.05      772.65      860.00
    64862.14    44713.10      782.04      870.00
    64860.47    44710.13      791.45      880.00
    64858.92    44707.13      800.86      890.00
    64857.60    44704.08      810.29      900.00
    64856.56    44700.95      819.73      910.00
    64855.69    44697.80      829.18      920.00
    64854.94    44694.60      838.63      930.00
    64854.30    44691.46      848.10      940.00
    64853.72    44688.40      857.60      950.00
    64853.11    44685.39      867.12      960.00
    64852.44    44682.45      876.65      970.00
    64851.61    44679.53      886.18      980.00
    64850.66    44676.67      895.72      990.00
    64849.69    44673.82      905.25     1000.00
    64848.68    44670.94      914.77     1010.00
    64847.53    44668.09      924.29     1020.00
    64846.33    44665.31      933.82     1030.00
    64845.17    44662.56      943.37     1040.00
    64844.06    44659.77      952.91     1050.00
    64842.95    44656.88      962.41     1060.00
    64841.82    44653.91      971.90     1070.00
    64840.71    44650.91      981.37     1080.00
    64839.68    44647.91      990.85     1090.00
    64838.65    44644.98     1000.36     1100.00
    64837.60    44642.06     1009.86     1110.00
    64836.70    44639.11     1019.38     1120.00
    64835.89    44636.14     1028.89     1130.00
    64835.03    44633.13     1038.39     1140.00
    64834.21    44630.14     1047.90     1150.00
    64833.38    44627.12     1057.40     1160.00
    64832.55    44624.10     1066.89     1170.00
    64831.79    44621.11     1076.40     1180.00
    64831.08    44618.15     1085.93     1190.00
    64830.39    44615.24     1095.47     1200.00
    64829.64    44612.40     1105.03     1210.00
    64828.97    44609.58     1114.60     1220.00
    64828.53    44606.89     1124.22     1230.00
    64828.07    44604.39     1133.89     1240.00
    64827.54    44602.07     1143.61     1250.00
    64827.10    44599.90     1153.36     1260.00
    64826.75    44597.74     1163.12     1270.00
    64826.42    44595.62     1172.88     1280.00
    64826.09    44593.54     1182.66     1290.00
    64825.77    44591.45     1192.43     1300.00
    64825.37    44589.36     1202.20     1310.00
    64824.89    44587.29     1211.97     1320.00
    64824.41    44585.26     1221.76     1330.00
    64823.95    44583.30     1231.55     1340.00
    64823.56    44581.44     1241.37     1350.00
    64823.23    44579.66     1251.20     1360.00
    64822.93    44577.85     1261.03     1370.00
    64822.71    44576.00     1270.86     1380.00
    64822.54    44574.15     1280.69     1390.00
    64822.33    44572.30     1290.51     1400.00
    64822.08    44570.40     1300.32     1410.00
    64821.83    44568.39     1310.12     1420.00
    64821.55    44566.28     1319.89     1430.00
    64821.24    44564.12     1329.65     1440.00
    64820.92    44561.97     1339.41     1450.00
    64820.61    44559.87     1349.18     1460.00
    64820.31    44557.80     1358.96     1470.00
    64820.02    44555.70     1368.73     1480.00
    64819.70    44553.58     1378.50     1490.00
    64819.38    44551.48     1388.27     1500.00
    64819.02    44549.42     1398.05     1510.00
    64818.63    44547.47     1407.85     1520.00
    64818.20    44545.59     1417.66     1530.00
    64817.75    44543.78     1427.49     1540.00
    64817.33    44542.06     1437.33     1550.00
    64816.91    44540.43     1447.19     1560.00
    64816.48    44538.95     1457.07     1570.00
    64816.00    44537.52     1466.95     1580.00
    64815.51    44536.08     1476.84     1590.00
    64815.02    44534.68     1486.73     1600.00
    64814.53    44533.32     1496.62     1610.00
    64814.08    44532.02     1506.52     1620.00
    64813.73    44530.75     1516.44     1630.00
    64813.45    44529.46     1526.35     1640.00
    64813.20    44528.20     1536.27     1650.00
    64812.96    44526.96     1546.19     1660.00
    64812.74    44525.71     1556.11     1670.00
    64812.54    44524.43     1566.02     1680.00
    64812.31    44523.12     1575.93     1690.00
    64812.04    44521.82     1585.85     1700.00
    64811.78    44520.63     1595.77     1710.00
    64811.51    44519.57     1605.71     1720.00
    64811.21    44518.67     1615.66     1730.00
    64810.95    44517.82     1625.63     1740.00
    64810.73    44516.97     1635.59     1750.00
    64810.49    44516.20     1645.55     1760.00
    64810.23    44515.48     1655.53     1770.00
    64810.02    44514.81     1665.50     1780.00
    64809.86    44514.24     1675.48     1790.00
    64809.68    44513.67     1685.46     1800.00
    64809.49    44513.08     1695.45     1810.00
    64809.31    44512.48     1705.43     1820.00
    64809.13    44511.87     1715.41     1830.00
    64808.96    44511.25     1725.39     1840.00
    64808.80    44510.67     1735.37     1850.00
    64808.67    44510.17     1745.35     1860.00
    64808.55    44509.71     1755.34     1870.00
    64808.40    44509.22     1765.33     1880.00
    64808.24    44508.72     1775.32     1890.00
    64808.08    44508.19     1785.30     1900.00
    64807.91    44507.61     1795.28     1910.00
    64807.73    44507.03     1805.26     1920.00
    64807.53    44506.46     1815.25     1930.00
    64807.34    44505.90     1825.23     1940.00
    64807.15    44505.35     1835.21     1950.00
    64806.97    44504.83     1845.20     1960.00
    64806.81    44504.35     1855.18     1970.00
    64806.65    44503.87     1865.17     1980.00
    64806.49    44503.40     1875.16     1990.00
    64806.32    44502.90     1885.14     2000.00
    64806.15    44502.41     1895.13     2010.00
    64806.00    44501.97     1905.12     2020.00
    64805.85    44501.53     1915.11     2030.00
    64805.70    44501.10     1925.10     2040.00
    64805.55    44500.66     1935.09     2050.00
    64805.41    44500.24     1945.08     2060.00
    64805.27    44499.84     1955.07     2070.00
    64805.14    44499.46     1965.06     2080.00
    64805.02    44499.09     1975.05     2090.00
    64804.89    44498.73     1985.05     2100.00
    64804.76    44498.36     1995.04     2110.00
    64804.64    44497.98     2005.03     2120.00
    64804.52    44497.63     2015.02     2130.00
    64804.40    44497.30     2025.02     2140.00
    64804.30    44496.99     2035.01     2150.00
    64804.19    44496.67     2045.01     2160.00
    64804.08    44496.36     2055.00     2170.00
    64803.98    44496.07     2065.00     2180.00
    64803.89    44495.79     2074.99     2190.00
    64803.80    44495.53     2084.99     2200.00
    64803.70    44495.24     2094.98     2210.00
    64803.59    44494.93     2104.98     2220.00
    64803.49    44494.62     2114.97     2230.00
    64803.39    44494.33     2124.97     2240.00
    64803.30    44494.06     2134.96     2250.00
    64803.21    44493.80     2144.96     2260.00
    64803.12    44493.53     2154.96     2270.00
    64803.02    44493.26     2164.95     2280.00
    64802.94    44493.02     2174.95     2290.00
    64802.88    44492.84     2184.95     2300.00
    64802.82    44492.67     2194.95     2310.00
    64802.75    44492.45     2204.94     2320.00
    64802.67    44492.21     2214.94     2330.00
    64802.58    44491.97     2224.94     2340.00
    64802.50    44491.73     2234.93     2350.00
    64802.42    44491.50     2244.93     2360.00
    64802.34    44491.27     2254.93     2370.00
    64802.26    44491.01     2264.92     2380.00
    64802.17    44490.76     2274.92     2390.00
    64802.09    44490.54     2284.92     2400.00
    64802.02    44490.32     2294.91     2410.00
    64801.94    44490.10     2304.91     2420.00
    64801.86    44489.85     2314.91     2430.00
    64801.77    44489.58     2324.90     2440.00
    64801.68    44489.34     2334.90     2450.00
    64801.60    44489.11     2344.90     2460.00
    64801.53    44488.89     2354.90     2470.00
    64801.46    44488.68     2364.89     2480.00
    64801.38    44488.45     2374.89     2490.00
    64801.30    44488.22     2384.89     2500.00
    64801.23    44488.01     2394.88     2510.00
