#  X  Y  TVDSS  MD
Name   823Ð
    65555.90    42314.20      -42.30       10.00
    65555.90    42314.12      -32.30       20.00
    65555.96    42314.06      -22.30       30.00
    65556.03    42314.01      -12.30       40.00
    65556.09    42313.96       -2.30       50.00
    65556.11    42313.90        7.70       60.00
    65556.15    42313.87       17.71       70.00
    65556.20    42313.83       27.71       80.00
    65556.19    42313.77       37.71       90.00
    65556.14    42313.73       47.71      100.00
    65556.10    42313.68       57.71      110.00
    65556.05    42313.64       67.71      120.00
    65556.02    42313.64       77.71      130.00
    65555.98    42313.65       87.71      140.00
    65555.94    42313.66       97.71      150.00
    65555.90    42313.69      107.71      160.00
    65555.87    42313.76      117.71      170.00
    65555.83    42313.89      127.71      180.00
    65555.81    42314.04      137.70      190.00
    65555.80    42314.16      147.71      200.00
    65555.78    42314.27      157.71      210.00
    65555.74    42314.37      167.71      220.00
    65555.73    42314.47      177.71      230.00
    65555.69    42314.55      187.71      240.00
    65555.62    42314.62      197.71      250.00
    65555.56    42314.69      207.71      260.00
    65555.50    42314.73      217.71      270.00
    65555.40    42314.74      227.71      280.00
    65555.28    42314.71      237.71      290.00
    65555.14    42314.69      247.71      300.00
    65554.96    42314.67      257.71      310.00
    65554.77    42314.65      267.70      320.00
    65554.58    42314.63      277.71      330.00
    65554.38    42314.59      287.71      340.00
    65554.19    42314.57      297.71      350.00
    65554.00    42314.59      307.71      360.00
    65553.79    42314.55      317.71      370.00
    65553.58    42314.54      327.70      380.00
    65553.38    42314.55      337.70      390.00
    65553.18    42314.52      347.70      400.00
    65553.00    42314.48      357.70      410.00
    65552.80    42314.45      367.70      420.00
    65552.58    42314.44      377.69      430.00
    65552.36    42314.42      387.69      440.00
    65552.17    42314.37      397.69      450.00
    65551.97    42314.33      407.70      460.00
    65551.71    42314.33      417.69      470.00
    65551.47    42314.33      427.69      480.00
    65551.22    42314.36      437.69      490.00
    65550.94    42314.42      447.68      500.00
    65550.69    42314.48      457.68      510.00
    65550.45    42314.53      467.68      520.00
    65550.20    42314.55      477.67      530.00
    65549.94    42314.61      487.67      540.00
    65549.73    42314.70      497.67      550.00
    65549.52    42314.77      507.66      560.00
    65549.30    42314.87      517.66      570.00
    65549.07    42314.96      527.67      580.00
    65548.85    42315.05      537.67      590.00
    65548.55    42315.12      547.66      600.00
    65548.23    42315.20      557.66      610.00
    65547.95    42315.32      567.65      620.00
    65547.63    42315.37      577.65      630.00
    65547.38    42315.34      587.64      640.00
    65547.21    42315.30      597.64      650.00
    65547.08    42315.29      607.64      660.00
    65546.97    42315.29      617.64      670.00
    65546.88    42315.28      627.64      680.00
    65546.79    42315.26      637.64      690.00
    65546.69    42315.27      647.64      700.00
    65546.58    42315.24      657.65      710.00
    65546.46    42315.22      667.65      720.00
    65546.36    42315.23      677.65      730.00
    65546.28    42315.19      687.65      740.00
    65546.21    42315.16      697.65      750.00
    65546.12    42315.13      707.65      760.00
    65546.01    42315.07      717.64      770.00
    65545.93    42315.00      727.64      780.00
    65545.86    42314.98      737.64      790.00
    65545.80    42314.98      747.64      800.00
    65545.70    42314.98      757.64      810.00
    65545.60    42315.04      767.64      820.00
    65545.51    42315.09      777.64      830.00
    65545.46    42315.10      787.65      840.00
    65545.40    42315.11      797.65      850.00
    65545.33    42315.17      807.65      860.00
    65545.26    42315.23      817.65      870.00
    65545.17    42315.30      827.65      880.00
    65545.06    42315.32      837.65      890.00
    65545.01    42315.37      847.65      900.00
    65544.98    42315.41      857.65      910.00
    65544.95    42315.42      867.65      920.00
    65544.90    42315.44      877.65      930.00
    65544.84    42315.48      887.65      940.00
    65544.76    42315.53      897.65      950.00
    65544.68    42315.60      907.65      960.00
    65544.61    42315.67      917.66      970.00
    65544.53    42315.75      927.66      980.00
    65544.39    42315.87      937.65      990.00
    65544.25    42315.96      947.65     1000.00
    65544.13    42316.00      957.65     1010.00
    65544.04    42316.04      967.65     1020.00
    65544.04    42316.09      977.65     1030.00
    65544.06    42316.10      987.65     1040.00
    65544.10    42316.08      997.65     1050.00
    65544.18    42316.08     1007.65     1060.00
    65544.27    42316.11     1017.65     1070.00
    65544.38    42316.12     1027.65     1080.00
    65544.49    42316.10     1037.65     1090.00
    65544.61    42316.10     1047.66     1100.00
    65544.75    42316.09     1057.66     1110.00
    65544.96    42316.06     1067.66     1120.00
    65545.16    42316.04     1077.65     1130.00
    65545.32    42316.03     1087.65     1140.00
    65545.49    42316.03     1097.65     1150.00
    65545.69    42316.03     1107.65     1160.00
    65545.89    42316.03     1117.65     1170.00
    65546.10    42316.06     1127.64     1180.00
    65546.33    42316.11     1137.64     1190.00
    65546.58    42316.13     1147.64     1200.00
    65546.83    42316.17     1157.64     1210.00
    65547.10    42316.24     1167.63     1220.00
    65547.38    42316.31     1177.64     1230.00
    65547.71    42316.40     1187.63     1240.00
    65548.01    42316.52     1197.63     1250.00
    65548.22    42316.61     1207.62     1260.00
    65548.44    42316.68     1217.62     1270.00
    65548.66    42316.78     1227.62     1280.00
    65548.89    42316.92     1237.61     1290.00
    65549.14    42317.07     1247.61     1300.00
    65549.39    42317.25     1257.61     1310.00
    65549.75    42317.47     1267.60     1320.00
    65550.07    42317.70     1277.59     1330.00
    65550.28    42317.90     1287.58     1340.00
    65550.57    42318.16     1297.58     1350.00
    65550.83    42318.45     1307.58     1360.00
    65551.04    42318.69     1317.57     1370.00
    65551.23    42318.94     1327.57     1380.00
    65551.40    42319.19     1337.57     1390.00
    65551.59    42319.46     1347.56     1400.00
    65551.79    42319.72     1357.55     1410.00
    65551.99    42319.98     1367.55     1420.00
    65552.17    42320.26     1377.54     1430.00
    65552.37    42320.54     1387.54     1440.00
    65552.61    42320.80     1397.53     1450.00
    65552.83    42321.06     1407.53     1460.00
    65553.04    42321.39     1417.52     1470.00
    65553.29    42321.82     1427.51     1480.00
    65553.54    42322.17     1437.51     1490.00
    65553.74    42322.43     1447.50     1500.00
    65554.03    42322.73     1457.49     1510.00
    65554.34    42323.00     1467.48     1520.00
    65554.58    42323.24     1477.48     1530.00
    65554.80    42323.47     1487.47     1540.00
    65555.03    42323.64     1497.47     1550.00
    65555.27    42323.84     1507.46     1560.00
    65555.54    42324.12     1517.46     1570.00
    65555.81    42324.35     1527.45     1580.00
    65556.06    42324.49     1537.45     1590.00
    65556.28    42324.65     1547.44     1600.00
    65556.46    42324.85     1557.44     1610.00
    65556.69    42325.12     1567.44     1620.00
    65556.91    42325.31     1577.44     1630.00
    65557.05    42325.43     1587.44     1640.00
    65557.20    42325.58     1597.43     1650.00
    65557.36    42325.76     1607.43     1660.00
    65557.54    42325.91     1617.43     1670.00
    65557.71    42326.04     1627.43     1680.00
    65557.85    42326.15     1637.42     1690.00
    65557.98    42326.22     1647.42     1700.00
    65558.12    42326.29     1657.42     1710.00
    65558.26    42326.42     1667.42     1720.00
    65558.44    42326.64     1677.42     1730.00
    65558.63    42326.80     1687.42     1740.00
    65558.79    42326.97     1697.42     1750.00
    65559.04    42327.18     1707.42     1760.00
    65559.27    42327.32     1717.41     1770.00
    65559.43    42327.45     1727.41     1780.00
    65559.59    42327.59     1737.41     1790.00
    65559.75    42327.69     1747.41     1800.00
    65559.91    42327.78     1757.40     1810.00
    65560.07    42327.88     1767.40     1820.00
    65560.22    42327.98     1777.40     1830.00
    65560.38    42328.06     1787.40     1840.00
    65560.53    42328.15     1797.40     1850.00
    65560.68    42328.24     1807.40     1860.00
    65560.83    42328.31     1817.40     1870.00
    65560.98    42328.39     1827.40     1880.00
    65561.13    42328.48     1837.40     1890.00
    65561.26    42328.55     1847.40     1900.00
    65561.40    42328.64     1857.40     1910.00
    65561.55    42328.71     1867.40     1920.00
    65561.68    42328.78     1877.40     1930.00
    65561.81    42328.87     1887.40     1940.00
    65561.94    42328.95     1897.39     1950.00
    65562.06    42329.04     1907.39     1960.00
    65562.18    42329.12     1917.39     1970.00
    65562.29    42329.20     1927.39     1980.00
    65562.40    42329.28     1937.39     1990.00
    65562.52    42329.36     1947.40     2000.00
    65562.63    42329.45     1957.40     2010.00
    65562.76    42329.54     1967.40     2020.00
    65562.89    42329.64     1977.40     2030.00
    65563.03    42329.75     1987.39     2040.00
    65563.19    42329.86     1997.39     2050.00
    65563.36    42329.98     2007.39     2060.00
    65563.53    42330.09     2017.39     2070.00
    65563.69    42330.18     2027.39     2080.00
    65563.85    42330.28     2037.38     2090.00
    65564.00    42330.38     2047.38     2100.00
    65564.14    42330.47     2057.38     2110.00
    65564.26    42330.56     2067.38     2120.00
    65564.38    42330.69     2077.39     2130.00
    65564.49    42330.79     2087.39     2140.00
    65564.59    42330.88     2097.39     2150.00
    65564.70    42330.98     2107.39     2160.00
    65564.83    42331.03     2117.38     2170.00
